T	S	L*		D*		DATA
-	Aut	1	1	68.911519889525
-	Aut	1	1	86.140496417698
-	Aut	1	1	73.495748040125
-	Aut	1	2	97.19963525831
-	Aut	1	2	113.63662488726
-	Aut	1	2	99.903796328589
-	Aut	2	1	34.905594269283
-	Aut	2	1	39.04463188869
-	Aut	2	1	72.804725938071
-	Aut	2	2	53.550886606045
-	Aut	2	2	71.653177278116
-	Aut	2	2	43.931111204384
-	Aut	3	1	55.903316179484
-	Aut	3	1	87.02710997224
-	Aut	3	1	62.041432153304
-	Aut	3	2	47.677081797288
-	Aut	3	2	63.73524898201
-	Aut	3	2	69.350681017591
-	Aut	4	1	51.081080167094
-	Aut	4	1	53.757537922737
-	Aut	4	1	52.540189076936
-	Aut	4	2	52.786679134227
-	Aut	4	2	96.920156652459
-	Aut	4	2	47.995512063269
-	Spr	1	3	83.272869671993
-	Spr	1	3	80.837133893649
-	Spr	1	3	94.554480446185
-	Spr	1	4	91.948341656292
-	Spr	1	4	117.02126006853
-	Spr	1	4	86.628441050835
-	Spr	2	3	40.910738212657
-	Spr	2	3	29.869369403314
-	Spr	2	3	36.034399193615
-	Spr	2	4	39.954493256332
-	Spr	2	4	62.528201042308
-	Spr	2	4	36.332772571793
-	Spr	3	3	60.27458106733
-	Spr	3	3	65.244088917876
-	Spr	3	3	84.347421972098
-	Spr	3	4	75.295017200423
-	Spr	3	4	68.228371551769
-	Spr	3	4	48.167326128095
-	Spr	4	3	30.749011340677
-	Spr	4	3	67.039886032858
-	Spr	4	3	70.701350353256
-	Spr	4	4	62.95921524649
-	Spr	4	4	57.616432063259
-	Spr	4	4	36.381098648549
+	Aut	1	1	73.623457496038
+	Aut	1	1	88.846669163317
+	Aut	1	1	127.48165495092
+	Aut	1	2	108.88106643646
+	Aut	1	2	93.729793751616
+	Aut	1	2	90.084358519722
+	Aut	2	1	36.335650993041
+	Aut	2	1	35.116964768298
+	Aut	2	1	41.922933231773
+	Aut	2	2	30.086604723549
+	Aut	2	2	16.126966825263
+	Aut	2	2	54.640105296457
+	Aut	3	1	87.768171693041
+	Aut	3	1	95.241015358939
+	Aut	3	1	81.464022430125
+	Aut	3	2	97.788713272576
+	Aut	3	2	104.8266878019
+	Aut	3	2	79.15112435036
+	Aut	4	1	43.194871144822
+	Aut	4	1	46.93153334082
+	Aut	4	1	37.684002878174
+	Aut	4	2	69.31194498414
+	Aut	4	2	62.274484214691
+	Aut	4	2	73.083090690619
+	Spr	1	3	101.70227671471
+	Spr	1	3	69.1756885351
+	Spr	1	3	78.951539350777
+	Spr	1	4	89.200771360994
+	Spr	1	4	84.870673763345
+	Spr	1	4	83.574317446647
+	Spr	2	3	60.573567171342
+	Spr	2	3	52.558281297739
+	Spr	2	3	52.332328279991
+	Spr	2	4	23.932071351252
+	Spr	2	4	26.794731682714
+	Spr	2	4	44.661846613411
+	Spr	3	3	79.443243503391
+	Spr	3	3	83.524115644138
+	Spr	3	3	85.262862587305
+	Spr	3	4	65.351479214342
+	Spr	3	4	79.470802880331
+	Spr	3	4	76.116596101067
+	Spr	4	3	50.933306797474
+	Spr	4	3	53.5523042347
+	Spr	4	3	54.617874528387
+	Spr	4	4	66.577811228069
+	Spr	4	4	36.048933319873
+	Spr	4	4	56.719258319871
 
