Trat     DATA
++       12.306364092454
++       28.17073453302
++       10.869833440657
++       17.83517917311
++       13.639016456536
+-       9.7644750937088
+-       10.436916071698
+-       12.772610611011
+-       15.059919626502
+-       12.55749418451
-+       10.491609959861
-+       5.3021305485956
-+       9.9438874402369
-+       6.5270475334418
-+       9.2509539678671
--       9.1187257478939
--       6.197853793931
--       5.9702904144442
--       1.1674132232596
--       9.055056335076
C        16.547656767
C        19.5462797693
C        14.91236545489
C        18.5423918497
C        17.9374768539
